mps,run,time,fail,threads
markshare_4_0,1,95.8482,0,1
markshare_4_0,2,102.7942,0,1
markshare_4_0,3,100.6763,0,1
beasleyC3,1,1800.1045,1,1
neos5,1,1127.8271,0,1
neos5,2,1131.8157,0,1
neos5,3,1129.2151,0,1
bnatt400,1,1800.0613,1,1
graphdraw-domain,1,1800.0306,1,1
gen-ip054,1,1502.8901,0,1
gen-ip054,2,1512.2089,0,1
gen-ip054,3,1501.9840,0,1
roll3000,1,1800.0390,1,1
piperout-08,1,438.9673,0,1
piperout-08,2,459.9485,0,1
piperout-08,3,440.4093,0,1
traininstance2,1,1800.0563,1,1
rail507,1,727.1272,0,1
rail507,2,725.7306,0,1
rail507,3,722.6610,0,1
